entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,bareground,litter,grasshopper_exoskeleton,final_total_datasheet,final_total_excel,OPPO_PADS,BOGR,BRTE,BRAR,HECO,PASM,POSE,VUOC,CAFI,CADU,ALDE,ARTR,DRRE,HEHI,LEDE,LOAR,OPPO,PLPA,SPCO,KOMA,NAVI,ERHO,OOMU,TAOF,GUSA,PHHO,ERPU,DEPI,CAMI,TRDU,VIAM,ALTE,COLI,MODI,NOCU,LOFO,MUDI,ARPU,POAV,CIUN_CIOC?,OEAL,DRNE,ZIVE,ANPA,ARFR,LIIN,PSTE,Unk_baby_forb_opp?,CIUN,ERPU?,PEAL,CIUN?,VEPE,MILI,MAGR,PEES,EREN,OESU,PIOP,CHLE,PEAL_LP_pic?,Unknown1_2021_no_sp_name_datasheet,notes
MF,LP,6/29/2021,2021,TB,36,basal,28,28,28.25,9,0.25,0.25,12,23,28,,,100.75,,14,,,,0.25,0.25,0.25,,0.25,,,0.25,,,,0.25,0.25,,3,,0.25,,,0.5,0.25,,,,,,0.25,,,,,,2,,,,0.25,,,6,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,33,aerial,23,24,23,0.25,0.25,0.25,3,6,65,,,97.75,18,8,2,0.5,,7,0.5,,,,,,,0.25,0.25,0.25,3,0.25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,33,basal,15,15,13.25,0.25,0.25,0.25,8,8,68,,,98,,6,0.5,0.25,,4,0.25,,,,,,,0.25,0.25,0.25,1,0.25,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/29/2021,2021,TB,40,aerial,20,21,21,0.25,,0.25,,0.25,78,,,99.75,48,1,0.5,4,,1,0.5,,,0.5,0.25,,,,0.25,,7,,0.5,,,,,,,,,0.5,0.5,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
MF,KK,6/29/2021,2021,TB,40,basal,10,11,8.5,0.25,,0.25,,0.5,88,,,97.5,,0.5,0.25,1,,0.25,0.25,,,0.25,0.25,,,,0.25,,3,,0.25,,,,,,,,,0.25,0.25,,0.5,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,KK,6/29/2021,2021,TB,43,aerial,30,29,28.75,1,,0.25,7,20,43,,,100,12,14,,2,,3,,,,0.5,0.5,,0.25,,,,2,0.25,0.25,1,1,,,,,,,,0.5,,2,,,,,1,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,"5% of plot was clipped, but cover was still estimated for that part"
MF,KK,6/29/2021,2021,TB,43,basal,15,16,15.5,2,,0.25,8,22,52,,,99.75,,10,,0.5,,1,,,,0.25,0.25,,0.25,,,,0.5,0.25,0.25,0.5,0.5,,,,,,,,0.25,,0.5,,,,,0.25,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,38,aerial,40,40,40,0.25,2,0.25,1,2,50,,,95.5,,24,,8,,1,3,0.25,,0.5,0.5,,,,,0.5,,0.5,,,,,,,,,,,,,0.5,0.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,38,basal,20,23,23.25,0.25,3,0.25,3,4,65,,98.5,98.75,,19,,1,,0.25,1,0.25,,0.25,0.25,,,,,0.25,,0.25,,,,,,,,,,,,,0.25,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,41,aerial,35,36,36.25,0.25,,,,25,40,,,101.5,,,,12,,14,0.5,,,,0.5,,0.25,,,,,,1,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
MF,SK,6/29/2021,2021,TB,41,basal,15,11.5,11.5,0.25,,,,30,55,,,96.75,,,,3,,5,0.25,,,,0.25,,0.25,,,,,,0.25,,2,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,SK,6/29/2021,2021,TB,44,aerial,60,59.25,59.25,0.25,,0.25,2,12,25,,,98.75,,38,,6,,2,0.25,,,0.25,0.25,,,,,,,0.25,,,,,,,,,,,,,11,0.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/29/2021,2021,TB,44,basal,35,35.5,33.5,0.25,,0.25,4,18,42,,,98,,30,,1,,0.5,0.25,,,0.25,0.25,,,,,,,0.25,,,,,,,,,,,,,0.5,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,39,aerial,50,53.25,53.25,8,0.25,,12,6,25,,,104.5,,40,,0.25,,4,1,,,0.25,0.25,,,,,,,0.25,0.25,4,,,,,,,,,0.25,,2,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,LP,6/29/2021,2021,TB,39,basal,40,42,42,9,0.25,,13,8,30,,,102.25,,35,,0.25,,2,0.5,,,0.25,0.25,,,,,,,0.25,0.25,2,,,,,,,,,0.25,,0.25,0.25,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
MF,LP,6/29/2021,2021,TB,42,aerial,25,27,26.75,2,,,1,35,35,,,99.75,4,,,5,,7,1,,,0.25,5,,0.25,,,,1,1,1,,1,,,,0.5,,,,0.25,,2,0.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,LP,6/29/2021,2021,TB,42,basal,15,11.5,11.5,3,,,1,38,43,,,96.5,,,,2,,4,0.5,,,0.25,2,,0.25,,,,,0.25,0.25,,0.5,,,,0.25,,,,0.25,,0.25,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,45,aerial,25,27,26.75,3,,0.25,5,35,30,,98,100,,,,2,,9,0.5,,,0.5,0.5,0.5,0.25,,,,,0.25,0.25,,1,,,,6,,,,0.5,,3,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KW,6/29/2021,2021,TB,45,basal,15,13,12.75,4,,0.25,6,42,35,,102,100,,,,0.5,,4,0.25,,,0.25,0.25,0.25,0.25,,,,,0.25,0.25,,0.5,,,,4,,,,0.25,,1,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
