"Site","DxG_block","paddock","genus_species","species_code","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","flower_heads","open_flowers","percent_green","lifespan","growth_form","photosynthetic_pathway","Date","Season","people","comments","leaf_thickness_.mm.","wet_leaf_weight_g","date_lab","people_lab","comments_lab","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Total.Area","NOTES","ID"
"FK",1,"HG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",2,"LG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",2,"MG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",2,"HG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",3,"LG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",3,"MG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","GT_MF_JH_AY_KW_JA","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"FK",3,"HG","Artemisia_tridentata","ARTR",NA,NA,NA,NA,NA,NA,NA,"perennial","woody","C3","7/1/22","Late","AY_JA_KW","",NA,"","7/2/22","KB_MF","",NA,NA,NA,NA,NA
"TB",1,"LG","Astragalus_bisulcatus","ASBI",17.4,1,7,0,30,0,97,"perennial","woody","C3","5/24/22","Early","KB_GT_MF_KVL","Plant from B3HG",0.29,"0.3478","5/28/22","KB_KVL","","0.6494","0.0764",11.708,"","ASBI_TB_1_LG"
"TB",1,"MG","Astragalus_bisulcatus","ASBI",18.1,4,8,0,28,0,97,"perennial","woody","C3","5/25/22","Early","KB_GT_MF_KVL","Plant from B3 HG",0.37,"0.3849","5/28/22","KB_KVL","","0.6915",NA,15.196,"","ASBI_TB_1_MG"
"TB",1,"HG","Astragalus_bisulcatus","ASBI",13,2,6,1,27,0,96,"perennial","woody","C3","5/25/22","Early","KB_GT_MF_KVL","",0.3,"0.4425","5/28/22","KB_KVL","","0.619","0.1117",13.418,"","ASBI_TB_1_HG"
"TB",2,"LG","Astragalus_bisulcatus","ASBI",12.1,1,8,1,12,0,90,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","",0.3,"0.5232","5/28/22","KB_KVL","","0.669","0.1030",18.064,"","ASBI_TB_2_LG"
"TB",2,"MG","Astragalus_bisulcatus","ASBI",11.2,1,6,0,9,0,97,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 Water",0.25,"0.2155","5/28/22","KB_KVL","","0.3255","0.0377",7.186,"","ASBI_TB_2_MG"
"TB",2,"HG","Astragalus_bisulcatus","ASBI",10.6,1,5,1,10,0,97,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B3HG",0.38,"0.3622","5/28/22","KB_KVL","3 leaves wouldn’t open (worms)","0.4461","0.0839",11.407,"","ASBI_TB_2_HG"
"TB",3,"LG","Astragalus_bisulcatus","ASBI",11.4,1,8,0,9,0,98,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B3HG",0.39,"0.3446","5/29/22","KB_KVL","","0.4939","0.0743",11.605,"","ASBI_TB_3_LG"
"TB",3,"MG","Astragalus_bisulcatus","ASBI",18.6,2,8,0,16,8,99,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B3 HG",0.27,"0.283","5/29/22","KB_KVL","","1.1747","0.0683",12.157,"","ASBI_TB_3_MG"
"TB",3,"HG","Astragalus_bisulcatus","ASBI",15.1,2,9,0,14,0,98,"perennial","woody","C3","5/26/22","Early","KB_GT_MF_KVL","",0.3,"0.5037","5/29/22","KB_KVL","","1.085","0.1291",NA,NA,NA
"FK",1,"LG","Astragalus_gracilis","ASGR",14.6,4,10,0,4,0,99,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.41,"0.1412","5/30/22","KB_KVL","","0.2662","0.033",4.687,"","ASGR_FK_1_LG"
"FK",1,"MG","Astragalus_gracilis","ASGR",10.1,3,9,0,3,0,99,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.39,"0.1351","5/30/22","KB_KVL","","0.2419","0.0292",3.294,"","ASGR_FK_1_MG"
"FK",1,"HG","Astragalus_gracilis","ASGR",7.8,2,7,0,0,0,98,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.41,"0.0606","5/30/22","KB_KVL","","0.0795","0.0152",1.829,"found","ASGR_FK_1_HG"
"FK",2,"LG","Astragalus_gracilis","ASGR",9.4,5,5,0,4,0,99,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.56,"0.1363","6/1/22","KB_KVL","","0.1791","0.0325",3.781,"found","ASGR_FK_2_LG"
"FK",2,"MG","Astragalus_gracilis","ASGR",10.1,3,6,0,2,0,100,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.49,"0.1123","6/1/22","KB_KVL","","0.1631","0.0286",3.415,"","ASGR_FK_2_MG"
"FK",2,"HG","Astragalus_gracilis","ASGR",9.2,5,14,0,6,0,99,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.43,"0.0823","6/1/22","KB_KVL","","0.3355","0.017",2.552,"","ASGR_FK_2_HG"
"FK",3,"LG","Astragalus_gracilis","ASGR",10.3,3,6,0,2,0,100,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.35,"0.1337","6/1/22","KB_KVL","","0.165","0.0293",3.867,"","ASGR_FK_3_LG"
"FK",3,"MG","Astragalus_gracilis","ASGR",12.4,1,6,0,2,0,98,"perennial","woody","C3","6/1/22","Early","KB_KVL","",0.34,"0.1405","6/1/22","KB_KVL","","0.1664","0.0358",3.996,"","ASGR_FK_3_MG"
"FK",3,"HG","Astragalus_gracilis","ASGR",14.1,6,4,0,2,0,98,"perennial","woody","C3","6/1/22","Early","KB_KVL","Plant from B1 water",0.33,"0.1469","6/1/22","KB_KVL","","0.1329","0.034",4.224,"","ASGR_FK_3_HG"
"FK",1,"LG","Astragalus_purshii","ASPU",7.6,2,2,0,1,0,90,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.39,"0.1466","5/30/22","KB_KVL","","0.0616","0.0281",6.498,"","ASPU_FK_1_LG"
"FK",1,"MG","Astragalus_purshii","ASPU",14.7,3,6,1,1,1,95,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.34,"0.6456","5/30/22","KB_KVL","","0.6332","0.1031",18.614,"","ASPU_FK_1_MG"
"FK",1,"HG","Astragalus_purshii","ASPU",6.1,5,19,1,4,6,95,"perennial","woody","C3","5/30/22","Early","KB_KVL","",0.63,"0.3755","5/30/22","KB_KVL","","1.2991","0.0738",13.459,"found","ASPU_FK_1_HG"
"FK",2,"LG","Astragalus_purshii","ASPU",4.8,1,6,1,3,0,97,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.61,"0.0795","6/1/22","KB_KVL","","0.1096","0.0163",2.786,"found","ASPU_FK_2_LG"
"FK",2,"MG","Astragalus_purshii","ASPU",5.1,4,8,0,0,4,92,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.35,"0.3065","6/1/22","KB_KVL","","0.3528","0.0634",8.355,"","ASPU_FK_2_MG"
"FK",2,"HG","Astragalus_purshii","ASPU",5.4,2,4,0,1,0,85,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.45,"0.1324","6/1/22","KB_KVL","","0.0621","0.0217",3.959,"","ASPU_FK_2_HG"
"FK",3,"LG","Astragalus_purshii","ASPU",5.1,1,4,0,1,0,100,"perennial","woody","C3","5/31/22","Early","KB_KVL","",0.57,"0.2383","6/1/22","KB_KVL","","0.1458","0.0438",7.858,"","ASPU_FK_3_LG"
"FK",3,"MG","Astragalus_purshii","ASPU",4.8,2,8,0,4,0,95,"perennial","woody","C3","6/1/22","Early","KB_KVL","2 dead flower heads",0.58,"0.2039","6/1/22","KB_KVL","","0.2547","0.0427",6.599,"","ASPU_FK_3_MG"
"FK",3,"HG","Astragalus_purshii","ASPU",5.6,2,11,0,1,3,98,"perennial","woody","C3","6/1/22","Early","KB_KVL","Plant from B3 water",0.48,"0.1583","6/1/22","KB_KVL","","0.1867","0.0298",6.556,"","ASPU_FK_3_HG"
"FK",1,"LG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/30/22","Early","KB_KVL","",NA,"","5/30/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",1,"MG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/30/22","Early","KB_KVL","",NA,"","5/30/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",1,"HG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/30/22","Early","KB_KVL","",NA,"","5/30/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",2,"LG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/31/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",2,"MG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/31/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",2,"HG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/31/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",3,"LG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","5/31/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",3,"MG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","6/1/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",3,"HG","Asclepias_stenophylla","ASST",NA,NA,NA,NA,NA,NA,NA,"","","","6/1/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","",NA,NA,NA,NA,NA
"FK",1,"LG","Bouteloua_dactyloides","BODA",12.9,1,0,0,0,0,98,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","Plant from B2HG",0.26,"0.0101","7/2/22","KB_MF","","0.0164","0.0038",0.89,"","BODA_FK_1_LG"
"FK",1,"MG","Bouteloua_dactyloides","BODA",8.7,1,0,0,6,7,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","Plant from B2HG",0.16,"0.0109","7/2/22","KB_MF","","0.0068","0.0048",0.84,"","BODA_FK_1_MG"
"FK",1,"HG","Bouteloua_dactyloides","BODA",4.8,1,3,0,1,2,97,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","Plant from B2HG",0.22,"0.0081","7/2/22","KB_MF","","0.0093","0.0034",0.682,"","BODA_FK_1_HG"
"FK",2,"LG","Bouteloua_dactyloides","BODA",8.1,1,3,0,16,6,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","taken from B2HG",0.27,"0.011","7/2/22","KB_MF","","0.0129","0.0042",0.735,"","BODA_FK_2_LG"
"FK",2,"MG","Bouteloua_dactyloides","BODA",9.4,1,4,0,2,6,96,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","Taken from B2HG",0.21,"0.0073","7/2/22","KB_MF","","0.0113","0.0027",0.588,"","BODA_FK_2_MG"
"FK",2,"HG","Bouteloua_dactyloides","BODA",6.9,2,3,0,1,16,99,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.27,"0.0157","7/2/22","KB_MF","","0.0211","0.0057",1.195,"","BODA_FK_2_HG"
"FK",3,"LG","Bouteloua_dactyloides","BODA",7.5,1,4,0,13,7,98,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B2HG",0.23,"0.0107","7/2/22","KB_MF","","0.0196","0.0043",0.916,"","BODA_FK_3_LG"
"FK",3,"MG","Bouteloua_dactyloides","BODA",8.7,1,3,0,4,2,97,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","Plant from B2HG",0.24,"0.0084","7/2/22","KB_MF","","0.0149","0.0039",0.665,"","BODA_FK_3_MG"
"FK",3,"HG","Bouteloua_dactyloides","BODA",11,1,4,0,32,5,97,"perennial","graminoid","C4","7/1/22","Late","AY_JA_KW","Plant from B2HG",0.22,"0.0158","7/2/22","KB_MF","labeled B3 HG BOGR on scan (bottom right)","0.0212","0.0069",1.145,"labeled B3-HG BOGR BOTTOM RIGHT","BODA_FK_3_HG"
"TB",1,"LG","Bouteloua_gracilis","BOGR",3.2,1,4,0,0,0,95,"perennial","graminoid","C4","6/28/22","Late","KB","",0.18,"0.0084","6/30/22","KB_AY","","0.0099","0.0017",NA,NA,NA
"TB",1,"MG","Bouteloua_gracilis","BOGR",8.1,1,4,0,0,0,98,"perennial","graminoid","C4","6/28/22","Late","KB","",0.27,"0.0107","6/30/22","KB_AY","","0.0164","0.0029",NA,NA,NA
"TB",1,"HG","Bouteloua_gracilis","BOGR",9.2,1,4,0,0,0,97,"perennial","graminoid","C4","6/28/22","Late","KB","",0.28,"0.0247","6/30/22","KB_AY","","0.0346","0.009",NA,NA,NA
"TB",2,"LG","Bouteloua_gracilis","BOGR",5.1,1,2,0,0,0,90,"perennial","graminoid","C4","6/29/22","Late","KB","",0.28,"0.0057","6/30/22","KB_AY","","0.0055","0.0017",NA,NA,NA
"TB",2,"MG","Bouteloua_gracilis","BOGR",8.6,1,4,0,7,0,97,"perennial","graminoid","C4","6/29/22","Late","KB","",0.26,"0.0089","6/30/22","KB_AY","","0.0171","0.0034",NA,NA,NA
"TB",2,"HG","Bouteloua_gracilis","BOGR",5.5,1,2,0,0,0,99,"perennial","graminoid","C4","6/29/22","Late","KB","",0.26,"0.009","6/30/22","KB_AY","","0.005","0.0015",NA,NA,NA
"TB",3,"LG","Bouteloua_gracilis","BOGR",4.1,1,3,0,0,0,97,"perennial","graminoid","C4","6/29/22","Late","KB","",0.24,"0.0091","6/30/22","KB_AY","","0.0112","0.0028",NA,NA,NA
"TB",3,"MG","Bouteloua_gracilis","BOGR",10.1,1,3,0,0,0,80,"perennial","graminoid","C4","6/29/22","Late","KB","",0.19,"0.0127","6/30/22","KB_AY","","0.0207","0.0047",NA,NA,NA
"TB",3,"HG","Bouteloua_gracilis","BOGR",9.3,1,2,1,0,0,75,"perennial","graminoid","C4","6/29/22","Late","KB","from B3 water",0.41,"0.0064","6/30/22","KB_AY","","0.0128","0.0036",NA,NA,NA
"FK",1,"LG","Bouteloua_gracilis","BOGR",7.4,2,1,1,0,0,95,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.31,"0.0167","7/2/22","KB_MF","","0.0258","0.0067",0.823,"","BOGR_FK_1_LG"
"FK",1,"MG","Bouteloua_gracilis","BOGR",5.2,1,0,0,0,0,95,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.24,"0.013","7/2/22","KB_MF","","0.015","0.0047",0.8,"","BOGR_FK_1_MG"
"FK",1,"HG","Bouteloua_gracilis","BOGR",5.1,1,2,0,0,0,96,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.26,"0.0106","7/2/22","KB_MF","","0.0078","0.0041",0.645,"","BOGR_FK_1_HG"
"FK",2,"LG","Bouteloua_gracilis","BOGR",4.3,2,2,0,0,0,96,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.21,"0.009","7/2/22","KB_MF","","0.0127","0.0036",0.586,"","BOGR_FK_2_LG"
"FK",2,"MG","Bouteloua_gracilis","BOGR",1.4,2,4,0,0,0,90,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.21,"0.0078","7/2/22","KB_MF","","0.0158","0.0031",0.476,"","BOGR_FK_2_MG"
"FK",2,"HG","Bouteloua_gracilis","BOGR",6.2,1,3,1,0,0,98,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH","",0.22,"0.0136","7/2/22","KB_MF","","0.0192","0.0055",0.724,"","BOGR_FK_2_HG"
"FK",3,"LG","Bouteloua_gracilis","BOGR",7.5,1,3,1,0,0,88,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.23,"0.0118","7/2/22","KB_MF","","0.0135","0.0043",0.565,"","BOGR_FK_3_LG"
"FK",3,"MG","Bouteloua_gracilis","BOGR",4.1,1,1,3,0,0,75,"perennial","graminoid","C4","7/1/22","Late","GT_MF_JH_AY_KW_JA","",0.22,"0.008","7/2/22","KB_MF","","0.0108","0.004",0.462,"","BOGR_FK_3_MG"
"FK",3,"HG","Bouteloua_gracilis","BOGR",13.7,1,3,1,1,0,96,"perennial","graminoid","C4","7/1/22","Late","AY_JA_KW","",0.22,"0.0143","7/2/22","KB_MF","","0.041","0.0051",0.811,"labeled B3-HG BOGR middle","BOGR_FK_3_HG"
"TB",1,"LG","Bromus_arvensis","BRAR",9.6,1,3,1,1,0,95,"annual","graminoid","C3","5/24/22","Early","KB_GT_MF_KVL","Plant from B3HG (all brar)",0.27,"0.0169","5/28/22","KB_KVL","","0.0358","0.0056",0.933,"","BRAR_TB_1_LG"
"TB",1,"MG","Bromus_arvensis","BRAR",5.8,1,3,0,1,0,100,"annual","graminoid","C3","5/25/22","Early","KB_GT_MF_KVL","",0.38,"0.0049","5/28/22","KB_KVL","","0.0075","0.0004",0.351,"","BRAR_TB_1_MG"
"TB",1,"HG","Bromus_arvensis","BRAR",9.3,1,7,2,1,0,90,"annual","graminoid","C3","5/25/22","Early","KB_GT_MF_KVL","",0.27,"0.0168","5/28/22","KB_KVL","","0.0309","0.0047",1.074,"","BRAR_TB_1_HG"
"TB",2,"LG","Bromus_arvensis","BRAR",10.6,1,3,1,1,0,98,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.3,"0.0234","5/28/22","KB_KVL","","0.0301","0.0052",1.351,"","BRAR_TB_2_LG"
"TB",2,"MG","Bromus_arvensis","BRAR",10.6,1,3,1,1,0,95,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 Water",0.3,"0.0202","5/28/22","KB_KVL","","0.0224","0.0043",1.431,"","BRAR_TB_2_MG"
"TB",2,"HG","Bromus_arvensis","BRAR",5.2,1,3,0,1,0,90,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.24,"0.0048","5/28/22","KB_KVL","","0.0072","0.0011",0.438,"","BRAR_TB_2_HG"
"TB",3,"LG","Bromus_arvensis","BRAR",7,1,3,4,0,0,85,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.22,"0.0129","5/29/22","KB_KVL","","0.0178","0.0032",0.81,"","BRAR_TB_3_LG"
"TB",3,"LG","Bromus_arvensis","BRAR",7,1,3,4,0,0,85,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.22,"0.0129","5/29/22","KB_KVL","","0.0184","0.0032",0.81,"","BRAR_TB_3_LG"
"TB",3,"MG","Bromus_arvensis","BRAR",6.5,0,3,3,0,0,90,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.37,"0.0055","5/29/22","KB_KVL","","0.0104","0.0005",0.483,"","BRAR_TB_3_MG"
"TB",3,"HG","Bromus_arvensis","BRAR",7.9,1,3,4,1,0,85,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.34,"0.0064","5/29/22","KB_KVL","",NA,"0.0003",0.551,"","BRAR_TB_3_HG"
"FK",1,"LG","Bromus_arvensis","BRAR",8.5,0,3,3,1,0,70,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.22,"0.0048","5/30/22","KB_KVL","","0.0116","0.0016",0.383,"","BRAR_FK_1_LG"
"FK",1,"MG","Bromus_arvensis","BRAR",7,0,4,1,1,0,95,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.22,"0.0062","5/30/22","KB_KVL","","0.016","0.0016",0.397,"","BRAR_FK_1_MG"
"FK",1,"HG","Bromus_arvensis","BRAR",8.1,1,5,0,1,0,80,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.26,"0.0075","5/30/22","KB_KVL","","0.0188","0.0017",0.586,"found","BRAR_FK_1_HG"
"FK",2,"LG","Bromus_arvensis","BRAR",8.8,0,4,1,1,0,95,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.33,"0.0113","6/1/22","KB_KVL","","0.026","0.0034",0.91,"found","BRAR_FK_2_LG"
"FK",2,"MG","Bromus_arvensis","BRAR",12.4,0,5,1,1,0,95,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.32,"0.0232","6/1/22","KB_KVL","","0.0469","0.005",0.979,"","BRAR_FK_2_MG"
"FK",2,"HG","Bromus_arvensis","BRAR",6.3,1,2,2,1,0,90,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.37,"0.0019","6/1/22","KB_KVL","","0.008","0.002",0.148,"","BRAR_FK_2_HG"
"FK",3,"LG","Bromus_arvensis","BRAR",11.4,0,7,1,1,0,90,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.58,"0.014","6/1/22","KB_KVL","","0.0312","0.0038",0.943,"","BRAR_FK_3_LG"
"FK",3,"MG","Bromus_arvensis","BRAR",8.1,0,4,0,1,0,98,"annual","graminoid","C3","6/1/22","Early","KB_KVL","",0.51,"0.002","6/1/22","KB_KVL","","0.0098","0.0003",0.124,"","BRAR_FK_3_MG"
"FK",3,"HG","Bromus_arvensis","BRAR",6.7,0,3,1,1,0,95,"annual","graminoid","C3","6/1/22","Early","KB_KVL","",0.28,"0.003","6/1/22","KB_KVL","","0.0081","0.0011",0.231,"","BRAR_FK_3_HG"
"TB",1,"LG","Bromus_tectorum","BRTE",14.2,1,4,0,0,0,100,"annual","graminoid","C3","5/24/22","Early","KB_GT_MF_KVL","",0.23,"0.0282","5/28/22","KB_KVL","","0.0593","0.0075",1.641,"","BRTE_TB_1_LG"
"TB",1,"MG","Bromus_tectorum","BRTE",18.9,1,5,0,0,0,95,"annual","graminoid","C3","5/25/22","Early","KB_GT_MF_KVL","",0.47,"0.0594","5/28/22","KB_KVL","","0.1028","0.0111",2.61,"","BRTE_TB_1_MG"
"TB",1,"HG","Bromus_tectorum","BRTE",16.4,0,4,1,1,0,95,"annual","graminoid","C3","5/25/22","Early","KB_GT_MF_KVL","",0.38,"0.0406","5/28/22","KB_KVL","","0.2173",NA,3.463,"","BRTE_TB_1_HG"
"TB",2,"LG","Bromus_tectorum","BRTE",8.7,1,4,0,3,0,85,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.28,"0.0172","5/28/22","KB_KVL","","0.0255","0.0044",1.091,"","BRTE_TB_2_LG"
"TB",2,"MG","Bromus_tectorum","BRTE",10.6,0,4,3,1,0,90,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 Water",0.26,"0.0022","5/28/22","KB_KVL","","0.0311","0.0004",0.186,"found b2-mg-22","BRTE_TB_2_MG"
"TB",2,"HG","Bromus_tectorum","BRTE",19.1,0,3,2,1,0,70,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.36,"0.0206","5/28/22","KB_KVL","","0.1859","0.0060",1.608,"","BRTE_TB_2_HG"
"TB",3,"LG","Bromus_tectorum","BRTE",7.6,2,6,0,0,0,97,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",NA,"","5/29/22","KB_KVL","",NA,NA,NA,"not collected","BRTE_TB_3_LG"
"TB",3,"MG","Bromus_tectorum","BRTE",11.2,0,6,3,1,0,95,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.23,"0.0062","5/29/22","KB_KVL","","0.0656","0.002",0.629,"","BRTE_TB_3_MG"
"TB",3,"HG","Bromus_tectorum","BRTE",7.1,0,5,1,1,0,97,"annual","graminoid","C3","5/26/22","Early","KB_GT_MF_KVL","",0.29,"0.0007","5/29/22","KB_KVL","",NA,"1e-05",0.079,"","BRTE_TB_3_HG"
"FK",1,"LG","Bromus_tectorum","BRTE",29,0,3,2,1,0,95,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.21,"0.0532","5/30/22","KB_KVL","","0.4745","0.0187",3.773,"","BRTE_FK_1_LG"
"FK",1,"MG","Bromus_tectorum","BRTE",13.3,0,3,8,1,0,90,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.35,"0.0078","5/30/22","KB_KVL","","0.0783","0.0018",0.603,"","BRTE_FK_1_MG"
"FK",1,"HG","Bromus_tectorum","BRTE",16.7,0,2,4,1,0,95,"annual","graminoid","C3","5/30/22","Early","KB_KVL","",0.29,"0.0064","5/30/22","KB_KVL","","0.0645","0.0019",0.534,"found","BRTE_FK_1_HG"
"FK",2,"LG","Bromus_tectorum","BRTE",11.6,1,2,0,3,0,80,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",NA,"","6/1/22","KB_KVL","not BRTE - did not measure, remove from data",NA,NA,NA,"NOT COLLECTED","BRTE_FK_2_LG"
"FK",2,"MG","Bromus_tectorum","BRTE",15.3,0,4,4,1,0,80,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.26,"0.0152","6/1/22","KB_KVL","","0.1037","0.005",1.216,"","BRTE_FK_2_MG"
"FK",2,"MG","Bromus_tectorum","BRTE",15.3,0,4,4,1,0,80,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.26,"0.0152","6/1/22","KB_KVL","","0.1037","0.005",1.216,"","BRTE_FK_2_MG"
"FK",2,"HG","Bromus_tectorum","BRTE",9.6,0,2,2,1,0,90,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.38,"0.0021","6/1/22","KB_KVL","","0.0274","0.0008",0.191,"","BRTE_FK_2_HG"
"FK",3,"LG","Bromus_tectorum","BRTE",11.9,0,3,8,1,0,75,"annual","graminoid","C3","5/31/22","Early","KB_KVL","",0.36,"0.0093","6/1/22","KB_KVL","","0.0946","0.0026",0.705,"","BRTE_FK_3_LG"
"FK",3,"MG","Bromus_tectorum","BRTE",13.2,0,4,1,1,0,90,"annual","graminoid","C3","6/1/22","Early","KB_KVL","",0.34,"0.0037","6/1/22","KB_KVL","","0.035","0.001",0.292,"","BRTE_FK_3_MG"
"FK",3,"HG","Bromus_tectorum","BRTE",9.5,0,4,2,1,0,98,"annual","graminoid","C3","6/1/22","Early","KB_KVL","",0.38,"0.0019","6/1/22","KB_KVL","","0.0263","0.0008",0.179,"","BRTE_FK_3_HG"
"TB",1,"LG","Carex_duriuscula","CADU",8.9,1,2,0,0,1,98,"perennial","graminoid","C3","5/24/22","Early","KB_GT_MF_KVL","",0.26,"0.015","5/28/22","KB_KVL","","0.0103","0.0059",0.667,"","CADU_TB_1_LG"
"TB",1,"MG","Carex_duriuscula","CADU",4.8,1,4,0,0,1,95,"perennial","graminoid","C3","5/25/22","Early","KB_GT_MF_KVL","",0.34,"0.0083","5/28/22","KB_KVL","","0.0062","0.0031",0.309,"","CADU_TB_1_MG"
