entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,Rock,Moss/Lichen/Bogr overlap,NOTES
Jill Baty,Sally Koerner,6/26/18,2018,FK,30,Basal,45,43,41,30,0,0.5,25,0,0,,2,2,0,2,0,,0.5,0.5,0,0,8,0,2,1,,,0,,,,,0.5,0,0.5,17,,,,,0.5,,0.5,0.5,0.5,,,,,,0,5,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,2,Aerial,80,110,110.5,9,0.5,0,10,0,0,,0,0,55,4,0,,2,0,0.5,5,0,0,0.5,0,,,0,,,,,0,0.5,0,1,,,,,0,,3,0.5,1,,,,,,0,35,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,2,Basal,40,37,37,20,1,0,39,0,0,,0,0,15,1,0,,0.5,0,0.5,1,0,0,0.5,0,,,0,,,,,0,0.5,0,0.5,,,,,0,,0.5,0.5,0.5,,,,,,0,15,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,6,Aerial,80,93,95,4,0,1,14,1,0,,0,0,3,10,0,,5,2,0,0,0,0.5,0.5,0,,,0,,,,,0,0,0,40,,,,,0.5,,0.5,1,0.5,,,,,,0,30,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,6,Basal,45,43,44.5,20,0,1,35,1,0,,0,0,0.5,4,0,,0.5,0.5,0,0,0,0.5,0.5,0,,,0,,,,,0,0,0,25,,,,,0.5,,0.5,0.5,0.5,,,,,,0,10,,,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,13,Aerial,65,73.5,76.5,10,0.5,0,24,0,0,,,2,0,10,1,,0.5,5,0.5,,17,0,7,,,,0,,,,,,,0,0,,,,,0.5,,3,0,3,,0.5,0,,,0,25,,,,,0.5,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,13,Basal,35,37.5,37.5,18,2,0,42,0,0,,,1,0,3,1,,0.5,1,0.5,,12,0,4,,,,0,,,,,,,0,0,,,,,0.5,,0.5,0,1,,0.5,0,,,0,11,,,,,0.5,,,,,,,,,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,17,Aerial,90,110,110,2,0,0,8,0,0.5,,,12,65,8,0,,4,0,0.5,,0,1,0.5,,,,0,,,,,,,0.5,0.5,,,,,0,,3,0.5,3,,0,1,,,0,10,,,,,0.5,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,17,Basal,40,38,38,5,0,0,56,0,0.5,,,5,20,3,0,,1,0,0.5,,0,0.5,0.5,,,,0,,,,,,,0.5,0.5,,,,,0,,0.5,0.5,0.5,,0,0.5,,,0,4,,,,,0.5,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,43,Aerial,75,92,93.5,3,0,0,20,2,0,,,0.5,2,7,0,,3,0.5,0.5,0,7,0,0,,,,0,,,,,0.5,0,,35,,,0,,0.5,,4,0.5,1,,0.5,,,,0,30,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,43,Basal,47,46,47,5,0,0,47,2,0,,,0.5,0.5,5,0,,1,0.5,0.5,0,5,0,0,,,,0,,,,,0.5,0,,20,,,0,,0.5,,0.5,0.5,0.5,,0.5,,,,0,10,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,44,Aerial,70,84,84.5,3,0,0,24,3,0,,,4,0.5,6,0,,3,1,0.5,3,1,0,0,,,,0,,,,,0.5,0.5,,18,,,0,,0.5,,2,0.5,11,,0,,,,0,32,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,44,Basal,35,32,34,7,0,0,55,3,0,,,1,0.5,4,0,,0.5,0.5,0.5,0.5,0.5,0,0,,,,0,,,,,0.5,0.5,,6,,,0,,0.5,,0.5,0.5,2,,0,,,,0,15,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0.5,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,46,Aerial,80,76,77,0,0,0.5,17,7,0,,,1,0,20,0.5,,1,2,0,0,2,0,0,,,,0,,,,,0.5,0,,10,,,0,,0.5,,3,0.5,1,,0,,,,0,35,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,46,Basal,40,35.5,35.5,0,0,0.5,53,7,0,,,0.5,0,10,0.5,,0.5,0.5,0,0,1,0,0,,,,0,,,,,0.5,0,,5,,,0,,0.5,,0.5,0.5,0.5,,0,,,,0,15,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,48,Aerial,80,92,92,2,0,0,18,0.5,0,,,1,0,16,0,,0.5,1,0,0,4,0,0,,,,0,,,,,0.5,0,,5,,,0.5,,0.5,,2,0.5,0.5,,0,,,,0,60,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,48,Basal,45,42,41.5,5,0,0,53,0.5,0,,,0.5,0,8,0,,0.5,0.5,0,0,2,0,0,,,,0,,,,,0.5,0,,2,,,0.5,,0.5,,0.5,0.5,0.5,,0,,,,0,25,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,37,Aerial,70,81,81,3,0,0.5,25,1,0,,0,0.5,3,8,0,,1,2,0.5,0.5,10,0,0,,0,,0,,,,,1,0,,1,,,,,0.5,,2,0.5,0.5,,,,,,0,50,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,37,Basal,30,33,33,8,0,0.5,58,1,0,,0,0.5,0.5,4,0,,0.5,0.5,0.5,0.5,5,0,0,,0,,0,,,,,0.5,0,,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,18,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,38,Aerial,70,71,80.5,3,0,0.5,26,0.5,0.5,,0,0.5,0,10,0,,4,0.5,0.5,0,5,0,0,,0,,0,,,,,0.5,0,,7,,,,,0.5,,0.5,0.5,1,,,,,,0,50,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,38,Basal,35,30,32,7,0,0.5,62,0.5,0.5,,0,0.5,0,4,0,,1,0.5,0.5,0,2,0,0,,0,,0,,,,,0.5,0,,4,,,,,0.5,,0.5,0.5,0.5,,,,,,0,17,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,36,Aerial,60,66,65,11,0.5,2,25,1,0.5,,3,3,0,7,0,,1,0,0.5,3,4,0,0.5,,0.5,,0,,,,,1,0.5,,1,,,,,0.5,,1,0.5,2,,,,,,0,35,,,,,,,,,0.5,,,,,,,,,,,0,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,36,Basal,30,28,26,28,0.5,2,40,1,0.5,,2,1,0,4,0,,0.5,0,0.5,0.5,1,0,0.5,,0.5,,0,,,,,0.5,0.5,,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,12,,,,,,,,,0.5,,,,,,,,,,,0,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,35,Aerial,66,72,74,3,0,0,40,1,0.5,,0,5,0,3,0,,0.5,0.5,0.5,0.5,0,0,11,,0,,0,,,,,0.5,0,,15,,,,,0.5,,0,0,2,,,,,,0,35,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,"Sally Koerner, Kim LaPierre, Kevin Wilcox",6/25/18,2018,FK,35,Basal,35,36,35.5,5,0,0,58,1,0.5,,0,3,0,1,0,,0.5,0.5,0.5,0.5,0,0,5,,0,,0,,,,,0.5,0,,7,,,,,0.5,,0,0,0.5,,,,,,0,16,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,29,Aerial,75,95,86,3,0.5,0.5,21,0.5,0.5,,,6,0,3,0,,1,2,0.5,0,15,0,0,,,,0,,,,,0.5,0,,20,,,,,1,,0.5,0.5,0,,,,,,0,35,,,,,0,,,,0,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,29,Basal,50,47,47,9,1,0.5,42,0.5,0.5,,,4,0,2,0,,0.5,0.5,0.5,0,12,0,0,,,,0,,,,,0.5,0,,10,,,,,0.5,,0.5,0.5,0,,,,,,0,15,,,,,0,,,,0,,,,,,,,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,1,Aerial,70,77,78.5,2,0,0,28,0.5,0,,,1,0.5,1,0,,0.5,2,0,6,0,0,0,,,,0,,,,,0,0.5,,0.5,,,,,0,,0,0,1,,,,,,0,65,,,,,0,,,,0.5,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,1,Basal,27,25,25.5,8,0,0,66,0.5,0,,,0.5,0.5,0.5,0,,0.5,0.5,0,1,0,0,0,,,,0,,,,,0,0.5,,0.5,,,,,0,,0,0,0.5,,,,,,0,20,,,,,0,,,,0.5,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,3,Aerial,75,85,85,3,0.5,0,21,1,0,,,0,0.5,30,0,,1,0.5,0.5,1,0,0,0.5,,,,0,,,,,0.5,0,,2,,,,,0.5,,1,0,1,,,,,,0,45,,,,,0.5,,,,0,,,,,,,,,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,3,Basal,40,40,40.5,6,1,0,53,1,0,,,0,0.5,14,0,,0.5,0.5,0.5,0.5,0,0,0.5,,,,0,,,,,0.5,0,,0.5,,,,,0.5,,0.5,0,0.5,,,,,,0,20,,,,,0.5,,,,0,,,,,,,,,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,14,Aerial,55,60,59.5,18,0,0,21,0.5,0,,,10,0.5,1,4,,0,1,0.5,0,18,0.5,1,,,,0,,,,,0.5,0.5,,1,,,,,2,,1,0.5,2,,,,,,0,15,,,,,0.5,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,14,Basal,30,32,31.5,27,0,0,40,0.5,0,,,6,0.5,0.5,3,,0,0.5,0.5,0,10,0.5,0.5,,,,0,,,,,0.5,0.5,,0.5,,,,,0.5,,0.5,0,0.5,,,,,,0,6,,,,,0.5,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,33,Aerial,75,82,82.5,8,0,0.5,15,1,0,,,1,0,1,0,,1,0,0.5,1,18,0,12,,0,,0,,,,,0.5,0,,0.5,,,0,,0.5,3,0,0,2,,,,,,0,40,,,,,0,,,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,0.5,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,33,Basal,35,35,36,20,0,0.5,43,1,0,,,0.5,0,0.5,0,,0.5,0,0.5,0.5,9,0,5,,0,,0,,,,,0.5,0,,0.5,,,0,,0.5,0.5,0,0.5,0.5,,,,,,0,15,,,,,0,,,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,0.5,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,23,Aerial,75,65,65.5,5,0.5,0.5,28,0.5,0.5,,,0.5,0,3,0,,0.5,0,0,1,8,0,7,,0,,0,,,,,0.5,0,,0.5,,,0.5,,0.5,0,0.5,0.5,1,,,,,,0,40,,,,,0,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,23,Basal,30,26.5,27,7,0.5,0.5,61,0.5,0.5,,,0.5,0,2,0,,0.5,0,0,0.5,2,0,4,,0,,0,,,,,0.5,0,,0.5,,,0.5,,0.5,0,0.5,0.5,0.5,,,,,,0,13,,,,,0,,,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.5,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,24,Aerial,65,68,68.5,7,0,0.5,26,0.5,0.5,,,1,0,15,0,,1,0.5,0,2,9,0,0,,0.5,,1,,,,,0.5,0.5,,0.5,,,0,,0.5,0,0.5,0.5,0.5,,,,,,0,35,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,24,Basal,31,31,31.5,15,0,0.5,52,0.5,0.5,,,0.5,0,7,0,,0.5,0.5,0,0.5,5,0,0,,0.5,,0.5,,,,,0.5,0.5,,0.5,,,0,,0.5,0,0.5,0.5,0.5,,,,,,0,13,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,19,Aerial,65,80,80.5,2,0,0.5,20,2,0,,,0,0,10,0,,5,0,0,6,0,0.5,0.5,,0.5,,0,,,,,0.5,0.5,,5,,,0,,0,0,0.5,0.5,0.5,,,,,,0,50,,,,,0.5,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Kevin Wilcox,6/26/18,2018,FK,19,Basal,25,26.5,26.5,2,0,0.5,69,3,0,,,0,0,5,0,,1,0,0,1,0,0.5,0.5,,0.5,,0,,,,,0.5,0.5,,2,,,0,,0,0,0.5,0.5,0.5,,,,,,0,13,,,,,0.5,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,31,Aerial,60,68,69,1,0,0,37,2,0,,,0.5,0,11,0.5,,0.5,4,0.5,0,12,0.5,0.5,,0.5,,0,,,,,0.5,0,,3,,,,,0.5,,4,0.5,0.5,,0,,,,0,28,,,,,,,,,0.5,,,,,,,,,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,31,Basal,25,28,33.5,4,0.5,0,66,2,0,,,0.5,0,5,0.5,,0.5,1,0.5,0,9,0.5,0.5,,0.5,,0,,,,,0.5,0,,1,,,,,0.5,,0.5,0.5,0.5,,0,,,,0,10,,,,,,,,,0.5,,,,,,,,,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,22,Aerial,80,87,87,3,0,0,15,2,0.5,,,0,3,5,0,,0.5,0,0.5,5,0,0,0.5,,0,,0,,,,,0.5,0.5,,28,,,,,0.5,,1,0.5,5,,1,,,,0,35,,,,,,,,,0.5,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,22,Basal,45,43,42.5,5,0,0,40,2,0.5,,,0,0.5,2,0,,0.5,0,0.5,1,0,0,0.5,,0,,0,,,,,0.5,0.5,,15,,,,,0.5,,0.5,0.5,2,,0.5,,,,0,17,,,,,,,,,0.5,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,20,Aerial,90,148,147,0,0,0,10,0,0,,,4,45,7,0,,5,0.5,0,4,7,0,0,,0,,0,,,,,0.5,0.5,,25,,,,,0.5,,0,1,1,,6,,,,0,40,,,,,,,,,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,20,Basal,60,62,62,5,3,0,30,0,0,,,2,20,2,0,,1,0.5,0,1,5,0,0,,0,,0,,,,,0.5,0.5,,10,,,,,0.5,,0,0.5,0.5,,3,,,,0,15,,,,,,,,,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,28,Aerial,80,92,91.5,1,0,0,16,3,1,,,2,3,2,0,,0,2,0.5,0,32,2,0.5,,0,,0,,,,,0.5,0,,2,,,,,3,,4,0.5,1,,0,,,,0,35,,,,,,,,,0.5,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,28,Basal,45,43,43,2,0,0,55,3,0.5,,,1,0.5,0.5,0,,0,0.5,0.5,0,20,0.5,0.5,,0,,0,,,,,0.5,0,,0.5,,,,,0.5,,0.5,0.5,0.5,,0,,,,0,15,,,,,,,,,0.5,,,,,,,,,,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,
Jill Baty,"Kevin Wilcox, Kim LaPierre",6/26/18,2018,FK,18,Aerial,80,101,100.5,1,0,0,19,0,0.5,,,0,50,15,0,,2,0,0.5,0.5,0,0,10,0.5,,,0,,,,,,,0.5,0.5,,,,,0.5,,8,0.5,1,,,,,,0,10,,0.5,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
Jill Baty,"Kevin Wilcox, Kim LaPierre",6/26/18,2018,FK,18,Basal,55,54,53.5,3,0,0,42,0,0.5,,,0,22,12,0,,0.5,0,0.5,0.5,0,0,8,0.5,,,0,,,,,,,0.5,0.5,,,,,0.5,,2,0.5,0.5,,,,,,0,4,,0.5,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
